year,strategy,days,start_open,end_valuation_open,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,worst_day,longest_underwater_days,mean_position,exposed_days_fraction,trading_days,one_way_turnover,sum_cost_fractions
2019,trend_model,365,2019-01-01,2020-01-01,0.788063341697395,0.788063341697395,0.29825956706431006,2.096364156778324,-0.13176118548249582,5.98099765732669,-0.08918225497803245,188,0.2250484662827985,0.40273972602739727,26,6.557015399716117,0.009835523099574176
2019,buy_hold,365,2019-01-01,2020-01-01,0.9411015540894363,0.9411015540894363,0.6862574535206466,1.3063466431455744,-0.4943008219337056,1.9039044895936963,-0.1350082987361796,188,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2019,sma200,365,2019-01-01,2020-01-01,0.5235665345710756,0.5235665345710756,0.553345131345889,1.037916111039889,-0.4268464087959132,1.2265923380918191,-0.1350082987361796,188,0.5205479452054794,0.5205479452054794,4,3.9970044932601096,0.005995506739890164
2019,vol_hold,365,2019-01-01,2020-01-01,0.9320876080237335,0.9320876080237335,0.4606941207647542,1.6566083384598407,-0.3396886983819267,2.7439464794196566,-0.12416256106862378,188,0.6507859031997422,1.0,52,6.19814585680046,0.00929721878520069
2020,trend_model,366,2020-01-01,2021-01-01,0.6640857416102417,0.6617718362371314,0.36663318323995225,1.5686708364970594,-0.24315621324990067,2.7215913070541364,-0.10995652495403174,264,0.49350908646399394,0.674863387978142,46,15.1286629981126,0.022692994497168904
2020,buy_hold,366,2020-01-01,2021-01-01,3.013807675031889,2.998595725833725,0.7547046320131622,2.25079814949431,-0.5359780595416248,5.594624019494682,-0.39505178597985025,163,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
2020,sma200,366,2020-01-01,2021-01-01,1.7625783984734027,1.75491899808596,0.4970259169816988,2.2887685345287836,-0.2635510405675906,6.658744333949581,-0.10978141184032364,168,0.7704918032786885,0.7704918032786885,5,4.995506739890164,0.007493260109835247
2020,vol_hold,366,2020-01-01,2021-01-01,1.6625284256858994,1.6554140384999543,0.4952954100813047,2.2331959692527414,-0.39531908040364205,4.187538928831079,-0.25179282418089377,167,0.6920044631620514,1.0,49,5.705984190807978,0.008558976286211967
2021,trend_model,365,2021-01-01,2022-01-01,0.05400061613351648,0.05400061613351648,0.3418956372888561,0.32448990403496847,-0.3091918285084203,0.17465085152483537,-0.0755115728655964,262,0.35315057892196833,0.6356164383561644,44,11.560555740768592,0.017340833611152885
2021,buy_hold,365,2021-01-01,2022-01-01,0.59550196283606,0.59550196283606,0.8112891695316335,0.9795434864082972,-0.5314143088612966,1.1205982844385376,-0.14419093866993005,188,1.0,1.0,1,0.9985022466300548,0.0014977533699450823
