case,days,start_open,end_valuation_open,total_return,cagr,annual_volatility,sharpe,max_drawdown,calmar,worst_day,longest_underwater_days,mean_position,exposed_days_fraction,trading_days,one_way_turnover,sum_cost_fractions
cost_30bps,989,2024-01-01,2026-09-16,0.3427304042841337,0.11489896176068348,0.266836748854099,0.5398749442964574,-0.33440369665551317,0.3435935753995176,-0.07305395314789509,433,0.38814597925305816,0.45197168857431747,75,40.37253173279458,0.12111759519838375
cost_50bps,989,2024-01-01,2026-09-16,0.23845045419140098,0.08212581534605579,0.26687948662212796,0.42804134783920916,-0.3565164743316309,0.23035629840112948,-0.07305395314789509,483,0.38814597925305816,0.45197168857431747,75,40.338281572649805,0.20169140786324907
delay_1_days,989,2024-01-01,2026-09-16,0.4847304528924241,0.1570395659337711,0.2677993721567644,0.6775958954331207,-0.2996635914988691,0.5240528725838346,-0.07305395314789509,637,0.38843524917547023,0.45197168857431747,75,40.35256986059062,0.060528854790885926
delay_3_days,989,2024-01-01,2026-09-16,0.46868059942472473,0.1524077052026449,0.2652786410477313,0.6663750728239876,-0.271266724152617,0.5618370836995805,-0.07305395314789509,398,0.3882848515067736,0.45197168857431747,75,40.462227113702866,0.0606933406705543
